[2024-05-01 14:02:08,964: INFO: main: Welcome to cnnClassifier]
[2024-05-01 14:40:46,418: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-05-01 14:40:46,421: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-01 14:40:46,421: INFO: common: created directory at: artifacts]
[2024-05-01 14:40:46,422: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-01 14:40:46,423: INFO: 1983665874: Downloading data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-01 14:40:51,167: INFO: 1983665874: Downloaded data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-01 15:01:15,377: INFO: main: >>>>>> Stage Data Ingestion Stage started <<<<<<]
[2024-05-01 15:01:15,379: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-05-01 15:01:15,379: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-01 15:01:15,379: INFO: common: created directory at: artifacts]
[2024-05-01 15:01:15,379: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-01 15:01:15,380: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-01 15:01:24,092: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1z0mreUtRmR-P-magILsDR3T7M6IkGXtY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-01 15:01:24,376: INFO: main: >>>>>> Stage Data Ingestion Stage completed <<<<<<]
